no;timestamp_esp32_wib;timestamp_server_wib;timestamp_dashboard_wib;dt1_esp32_server_ms;dt2_server_dashboard_ms;dt_total_ms;broker_tiba_laptop_wib;status
1;06:04:40.333;06:04:40.811;06:04:40.980;478;169;647;06:04:40.759;Berhasil
2;06:04:50.333;06:04:50.709;06:04:50.850;376;141;517;06:04:50.657;Berhasil
3;06:05:00.357;06:05:00.797;06:05:00.931;440;134;574;06:05:00.741;Berhasil
4;06:05:10.378;06:05:10.761;06:05:10.896;383;135;518;06:05:10.704;Berhasil
5;06:05:20.399;06:05:20.792;06:05:20.909;393;117;510;06:05:20.741;Berhasil
6;06:05:30.419;06:05:30.796;06:05:30.942;377;146;523;06:05:30.745;Berhasil
7;06:05:40.439;06:05:40.866;06:05:40.977;427;111;538;06:05:40.814;Berhasil
8;06:05:50.459;06:05:50.833;06:05:50.942;374;109;483;06:05:50.782;Berhasil
9;06:06:00.458;06:06:00.861;06:06:00.988;403;127;530;06:06:00.809;Berhasil
10;06:06:10.458;06:06:10.843;06:06:10.977;385;134;519;06:06:10.849;Berhasil
11;06:06:20.458;06:06:20.835;06:06:20.958;377;123;500;06:06:20.783;Berhasil
12;06:06:30.458;06:06:30.836;06:06:30.934;378;98;476;06:06:30.785;Berhasil
13;06:06:40.458;06:06:40.995;06:06:41.102;537;107;644;06:06:40.942;Berhasil
14;06:06:50.458;06:06:50.840;06:06:50.961;382;121;503;06:06:50.787;Berhasil
15;06:07:00.458;06:07:00.840;06:07:00.947;382;107;489;06:07:00.788;Berhasil
16;06:07:10.458;06:07:10.840;06:07:10.976;382;136;518;06:07:10.786;Berhasil
17;06:07:20.458;06:07:20.841;06:07:20.998;383;157;540;06:07:20.787;Berhasil
18;06:07:30.458;06:07:30.840;06:07:30.937;382;97;479;06:07:30.789;Berhasil
19;06:07:40.482;06:07:40.865;06:07:40.964;383;99;482;06:07:40.812;Berhasil
20;06:07:50.482;06:07:50.864;06:07:50.960;382;96;478;06:07:50.811;Berhasil
Rata-rata;;;;400,20;123,20;523,40;;
Maksimum;;;;537;169;647;;
Minimum;;;;374;96;476;;
Range;;;;163;73;171;;
Standar deviasi;;;;41,51;20,77;48,66;;
